Date,Name,Year,movies-link,Rating
2000-01-01,the-darjeeling-limited,2000-01-01,https://letterboxd.com/film/the-darjeeling-limited/,9
2000-01-01,annie-hall,2000-01-01,https://letterboxd.com/film/annie-hall/,9
2000-01-01,argo,2000-01-01,https://letterboxd.com/film/argo/,9
2000-01-01,dallas-buyers-club,2000-01-01,https://letterboxd.com/film/dallas-buyers-club/,9
2000-01-01,the-royal-tenenbaums,2000-01-01,https://letterboxd.com/film/the-royal-tenenbaums/,9
2000-01-01,the-big-short,2000-01-01,https://letterboxd.com/film/the-big-short/,9
2000-01-01,gurren-lagann,2000-01-01,https://letterboxd.com/film/gurren-lagann/,10
2000-01-01,history-of-the-entire-world-i-guess,2000-01-01,https://letterboxd.com/film/history-of-the-entire-world-i-guess/,10
2000-01-01,the-father-2020,2000-01-01,https://letterboxd.com/film/the-father-2020/,10
2000-01-01,isle-of-flowers,2000-01-01,https://letterboxd.com/film/isle-of-flowers/,10
2000-01-01,first-reformed,2000-01-01,https://letterboxd.com/film/first-reformed/,10
2000-01-01,neon-genesis-evangelion,2000-01-01,https://letterboxd.com/film/neon-genesis-evangelion/,10
2000-01-01,when-harry-met-sally,2000-01-01,https://letterboxd.com/film/when-harry-met-sally/,10
2000-01-01,the-shawshank-redemption,2000-01-01,https://letterboxd.com/film/the-shawshank-redemption/,10
2000-01-01,the-iron-giant,2000-01-01,https://letterboxd.com/film/the-iron-giant/,10
2000-01-01,gangs-of-new-york-2002,2000-01-01,https://letterboxd.com/film/gangs-of-new-york-2002/,10
2000-01-01,one-flew-over-the-cuckoos-nest,2000-01-01,https://letterboxd.com/film/one-flew-over-the-cuckoos-nest/,10
2000-01-01,city-of-god,2000-01-01,https://letterboxd.com/film/city-of-god/,10
2000-01-01,no-country-for-old-men,2000-01-01,https://letterboxd.com/film/no-country-for-old-men/,10
2000-01-01,12-angry-men,2000-01-01,https://letterboxd.com/film/12-angry-men/,10
2000-01-01,the-princess-bride,2000-01-01,https://letterboxd.com/film/the-princess-bride/,10
2000-01-01,fargo,2000-01-01,https://letterboxd.com/film/fargo/,10
2000-01-01,snatch,2000-01-01,https://letterboxd.com/film/snatch/,10
2000-01-01,amadeus,2000-01-01,https://letterboxd.com/film/amadeus/,10
2000-01-01,dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,2000-01-01,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/,10
2000-01-01,the-great-dictator,2000-01-01,https://letterboxd.com/film/the-great-dictator/,10
2000-01-01,rear-window,2000-01-01,https://letterboxd.com/film/rear-window/,10
2000-01-01,death-note-2006,2000-01-01,https://letterboxd.com/film/death-note-2006/,10
2000-01-01,cosmos-a-spacetime-odyssey,2000-01-01,https://letterboxd.com/film/cosmos-a-spacetime-odyssey/,10
2000-01-01,spirited-away,2000-01-01,https://letterboxd.com/film/spirited-away/,10
2000-01-01,catch-me-if-you-can-2002,2000-01-01,https://letterboxd.com/film/catch-me-if-you-can-2002/,10
2000-01-01,walle,2000-01-01,https://letterboxd.com/film/walle/,10
2000-01-01,everything-everywhere-all-at-once,2000-01-01,https://letterboxd.com/film/everything-everywhere-all-at-once/,9
2000-01-01,green-book,2000-01-01,https://letterboxd.com/film/green-book/,9
2000-01-01,scooby-doo,2000-01-01,https://letterboxd.com/film/scooby-doo/,9
2000-01-01,an-american-werewolf-in-london,2000-01-01,https://letterboxd.com/film/an-american-werewolf-in-london/,9
2000-01-01,jerry-maguire,2000-01-01,https://letterboxd.com/film/jerry-maguire/,9
2000-01-01,perfect-blue,2000-01-01,https://letterboxd.com/film/perfect-blue/,9
2000-01-01,dear-zachary-a-letter-to-a-son-about-his-father,2000-01-01,https://letterboxd.com/film/dear-zachary-a-letter-to-a-son-about-his-father/,9
2000-01-01,enter-the-void,2000-01-01,https://letterboxd.com/film/enter-the-void/,9
2000-01-01,come-and-see,2000-01-01,https://letterboxd.com/film/come-and-see/,9
2000-01-01,little-shop-of-horrors,2000-01-01,https://letterboxd.com/film/little-shop-of-horrors/,9
2000-01-01,stand-by-me,2000-01-01,https://letterboxd.com/film/stand-by-me/,9
2000-01-01,there-will-be-blood,2000-01-01,https://letterboxd.com/film/there-will-be-blood/,9
2000-01-01,baccano,2000-01-01,https://letterboxd.com/film/baccano/,9
2000-01-01,cinema-paradiso,2000-01-01,https://letterboxd.com/film/cinema-paradiso/,9
2000-01-01,around-the-world-in-80-days-2004,2000-01-01,https://letterboxd.com/film/around-the-world-in-80-days-2004/,9
2000-01-01,all-dogs-go-to-heaven,2000-01-01,https://letterboxd.com/film/all-dogs-go-to-heaven/,9
2000-01-01,an-extremely-goofy-movie,2000-01-01,https://letterboxd.com/film/an-extremely-goofy-movie/,9
2000-01-01,9,2000-01-01,https://letterboxd.com/film/9/,9
2000-01-01,pinocchio,2000-01-01,https://letterboxd.com/film/pinocchio/,9
2000-01-01,dumbo,2000-01-01,https://letterboxd.com/film/dumbo/,9
2000-01-01,treasure-planet,2000-01-01,https://letterboxd.com/film/treasure-planet/,9
2000-01-01,its-a-wonderful-life,2000-01-01,https://letterboxd.com/film/its-a-wonderful-life/,9
2000-01-01,chappie,2000-01-01,https://letterboxd.com/film/chappie/,9
2000-01-01,guardians-of-the-galaxy-vol-2,2000-01-01,https://letterboxd.com/film/guardians-of-the-galaxy-vol-2/,9
2000-01-01,the-haunting-of-bly-manor,2000-01-01,https://letterboxd.com/film/the-haunting-of-bly-manor/,9
2000-01-01,the-haunting-2018,2000-01-01,https://letterboxd.com/film/the-haunting-2018/,9
2000-01-01,boyhood,2000-01-01,https://letterboxd.com/film/boyhood/,9
2000-01-01,thor-ragnarok,2000-01-01,https://letterboxd.com/film/thor-ragnarok/,9
2000-01-01,kramer-vs-kramer,2000-01-01,https://letterboxd.com/film/kramer-vs-kramer/,9
2000-01-01,monster,2000-01-01,https://letterboxd.com/film/monster/,9
2000-01-01,the-hunt-2012,2000-01-01,https://letterboxd.com/film/the-hunt-2012/,9
2000-01-01,platoon,2000-01-01,https://letterboxd.com/film/platoon/,9
2000-01-01,lawrence-of-arabia,2000-01-01,https://letterboxd.com/film/lawrence-of-arabia/,9
2000-01-01,high-fidelity,2000-01-01,https://letterboxd.com/film/high-fidelity/,9
2000-01-01,midnight-express,2000-01-01,https://letterboxd.com/film/midnight-express/,9
2000-01-01,dan-in-real-life,2000-01-01,https://letterboxd.com/film/dan-in-real-life/,9
2000-01-01,blue-planet-ii,2000-01-01,https://letterboxd.com/film/blue-planet-ii/,9
2000-01-01,no-half-measures-creating-the-final-season-of-breaking-bad,2000-01-01,https://letterboxd.com/film/no-half-measures-creating-the-final-season-of-breaking-bad/,9
2000-01-01,planet-earth-ii,2000-01-01,https://letterboxd.com/film/planet-earth-ii/,9
2000-01-01,the-game,2000-01-01,https://letterboxd.com/film/the-game/,9
2000-01-01,the-darjeeling-limited,2000-01-01,https://letterboxd.com/film/the-darjeeling-limited/,9
2000-01-01,annie-hall,2000-01-01,https://letterboxd.com/film/annie-hall/,9
2000-01-01,argo,2000-01-01,https://letterboxd.com/film/argo/,9
2000-01-01,dallas-buyers-club,2000-01-01,https://letterboxd.com/film/dallas-buyers-club/,9
2000-01-01,the-royal-tenenbaums,2000-01-01,https://letterboxd.com/film/the-royal-tenenbaums/,9
2000-01-01,the-big-short,2000-01-01,https://letterboxd.com/film/the-big-short/,9
2000-01-01,fantastic-mr-fox,2000-01-01,https://letterboxd.com/film/fantastic-mr-fox/,9
2000-01-01,the-martian,2000-01-01,https://letterboxd.com/film/the-martian/,9
2000-01-01,the-fighter-2010,2000-01-01,https://letterboxd.com/film/the-fighter-2010/,9
2000-01-01,shaun-of-the-dead,2000-01-01,https://letterboxd.com/film/shaun-of-the-dead/,9
2000-01-01,big-fish,2000-01-01,https://letterboxd.com/film/big-fish/,9
2000-01-01,american-psycho,2000-01-01,https://letterboxd.com/film/american-psycho/,9
2000-01-01,spider-man-2,2000-01-01,https://letterboxd.com/film/spider-man-2/,9
2000-01-01,airplane,2000-01-01,https://letterboxd.com/film/airplane/,9
2000-01-01,beetlejuice,2000-01-01,https://letterboxd.com/film/beetlejuice/,9
2000-01-01,cube,2000-01-01,https://letterboxd.com/film/cube/,9
2000-01-01,speed-racer,2000-01-01,https://letterboxd.com/film/speed-racer/,9
2000-01-01,arrival-2016,2000-01-01,https://letterboxd.com/film/arrival-2016/,9
2000-01-01,the-graduate,2000-01-01,https://letterboxd.com/film/the-graduate/,9
2000-01-01,manchester-by-the-sea,2000-01-01,https://letterboxd.com/film/manchester-by-the-sea/,9
2000-01-01,apocalypse-now,2000-01-01,https://letterboxd.com/film/apocalypse-now/,9
2000-01-01,perfume-the-story-of-a-murderer,2000-01-01,https://letterboxd.com/film/perfume-the-story-of-a-murderer/,9
2000-01-01,three-billboards-outside-ebbing-missouri,2000-01-01,https://letterboxd.com/film/three-billboards-outside-ebbing-missouri/,9
2000-01-01,zodiac,2000-01-01,https://letterboxd.com/film/zodiac/,9
2000-01-01,moneyball,2000-01-01,https://letterboxd.com/film/moneyball/,9
2000-01-01,moonlight-2016,2000-01-01,https://letterboxd.com/film/moonlight-2016/,9
2000-01-01,who-framed-roger-rabbit,2000-01-01,https://letterboxd.com/film/who-framed-roger-rabbit/,9
2000-01-01,nocturnal-animals,2000-01-01,https://letterboxd.com/film/nocturnal-animals/,9
2000-01-01,dogville,2000-01-01,https://letterboxd.com/film/dogville/,9
2000-01-01,vice-2018,2000-01-01,https://letterboxd.com/film/vice-2018/,9
2000-01-01,parasite-2019,2000-01-01,https://letterboxd.com/film/parasite-2019/,9
2000-01-01,once-upon-a-time-in-hollywood,2000-01-01,https://letterboxd.com/film/once-upon-a-time-in-hollywood/,9
2000-01-01,akira,2000-01-01,https://letterboxd.com/film/akira/,9
2000-01-01,stranger-than-fiction-2006,2000-01-01,https://letterboxd.com/film/stranger-than-fiction-2006/,9
2000-01-01,life-of-brian,2000-01-01,https://letterboxd.com/film/life-of-brian/,9
2000-01-01,the-big-lebowski,2000-01-01,https://letterboxd.com/film/the-big-lebowski/,9
2000-01-01,groundhog-day,2000-01-01,https://letterboxd.com/film/groundhog-day/,9
2000-01-01,mad-max-fury-road,2000-01-01,https://letterboxd.com/film/mad-max-fury-road/,9
2000-01-01,the-third-man,2000-01-01,https://letterboxd.com/film/the-third-man/,9
2000-01-01,howls-moving-castle,2000-01-01,https://letterboxd.com/film/howls-moving-castle/,9
2000-01-01,taxi-driver,2000-01-01,https://letterboxd.com/film/taxi-driver/,9
2000-01-01,reservoir-dogs,2000-01-01,https://letterboxd.com/film/reservoir-dogs/,9
2000-01-01,american-beauty,2000-01-01,https://letterboxd.com/film/american-beauty/,9
2000-01-01,spider-man-into-the-spider-verse,2000-01-01,https://letterboxd.com/film/spider-man-into-the-spider-verse/,9
2000-01-01,the-prestige,2000-01-01,https://letterboxd.com/film/the-prestige/,9
2000-01-01,whiplash-2014,2000-01-01,https://letterboxd.com/film/whiplash-2014/,9
2000-01-01,city-lights,2000-01-01,https://letterboxd.com/film/city-lights/,9
2000-01-01,leon-the-professional,2000-01-01,https://letterboxd.com/film/leon-the-professional/,9
2000-01-01,futurama-benders-big-score,2000-01-01,https://letterboxd.com/film/futurama-benders-big-score/,9
2000-01-01,kill-bill-vol-1,2000-01-01,https://letterboxd.com/film/kill-bill-vol-1/,9
2000-01-01,the-grand-budapest-hotel,2000-01-01,https://letterboxd.com/film/the-grand-budapest-hotel/,9
2000-01-01,shutter-island,2000-01-01,https://letterboxd.com/film/shutter-island/,9
2000-01-01,hot-fuzz,2000-01-01,https://letterboxd.com/film/hot-fuzz/,9
2000-01-01,little-miss-sunshine,2000-01-01,https://letterboxd.com/film/little-miss-sunshine/,9
2000-01-01,scott-pilgrim-vs-the-world,2000-01-01,https://letterboxd.com/film/scott-pilgrim-vs-the-world/,9
2000-01-01,district-9,2000-01-01,https://letterboxd.com/film/district-9/,9
2000-01-01,doctor-who,2000-01-01,https://letterboxd.com/film/doctor-who/,9
2000-01-01,the-arrested-development-documentary-project,2000-01-01,https://letterboxd.com/film/the-arrested-development-documentary-project/,9
2000-01-01,the-truman-show,2000-01-01,https://letterboxd.com/film/the-truman-show/,9
2000-01-01,twelve-monkeys,2000-01-01,https://letterboxd.com/film/twelve-monkeys/,9
2000-01-01,her,2000-01-01,https://letterboxd.com/film/her/,9
2000-01-01,finding-nemo,2000-01-01,https://letterboxd.com/film/finding-nemo/,9
2000-01-01,12-years-a-slave,2000-01-01,https://letterboxd.com/film/12-years-a-slave/,9
2000-01-01,good-will-hunting,2000-01-01,https://letterboxd.com/film/good-will-hunting/,9
2000-01-01,gran-torino,2000-01-01,https://letterboxd.com/film/gran-torino/,9
2000-01-01,american-history-x,2000-01-01,https://letterboxd.com/film/american-history-x/,9
2000-01-01,the-silence-of-the-lambs,2000-01-01,https://letterboxd.com/film/the-silence-of-the-lambs/,9
2000-01-01,the-dark-knight,2000-01-01,https://letterboxd.com/film/the-dark-knight/,9
2000-01-01,up,2000-01-01,https://letterboxd.com/film/up/,9
2000-01-01,grave-of-the-fireflies,2000-01-01,https://letterboxd.com/film/grave-of-the-fireflies/,9
2000-01-01,eternal-sunshine-of-the-spotless-mind,2000-01-01,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/,9
2000-01-01,django-unchained,2000-01-01,https://letterboxd.com/film/django-unchained/,9
2000-01-01,gladiator-2000,2000-01-01,https://letterboxd.com/film/gladiator-2000/,9
2000-01-01,memento,2000-01-01,https://letterboxd.com/film/memento/,9
2000-01-01,inception,2000-01-01,https://letterboxd.com/film/inception/,9
2000-01-01,pulp-fiction,2000-01-01,https://letterboxd.com/film/pulp-fiction/,9
2000-01-01,the-godfather-part-ii,2000-01-01,https://letterboxd.com/film/the-godfather-part-ii/,9
2000-01-01,slumdog-millionaire,2000-01-01,https://letterboxd.com/film/slumdog-millionaire/,9
